Nome,Princípio Ativo,Tipo,Via de Administração,Concentração,Posologia
Ondansetrona 4mg/2mL,Cloridrato de Ondansetrona,Genérico,Intravenosa/Intramuscular,2mg/mL,1 ampola a cada 8h
Prometazina Injetável 25mg/mL,Cloridrato de Prometazina,Genérico,Intramuscular,25mg/mL,1 ampola 1 a 2x ao dia
Dimenidrinato 50mg/mL Injetável,Dimenidrinato,Genérico,Intramuscular,50mg/mL,1 ampola a cada 8h se necessário
Fenoterol + Brometo de Ipratrópio,Fenoterol + Ipratrópio,Referência,Inalatória,"0,1mg + 0,25mg/mL",20 gotas no nebulizador 3x ao dia
Adrenalina 1mg/mL,Cloridrato de Epinefrina,Referência,Intramuscular/Intravenosa/Subcutânea,1:1000,"0,3 a 0,5mL por via IM em emergência"
Noradrenalina 8mg/4mL,Tartarato de Norepinefrina,Referência,Intravenosa,2mg/mL,Diluir em soro e ajustar conforme resposta
Dobutamina 250mg/20mL,Cloridrato de Dobutamina,Genérico,Intravenosa,"12,5mg/mL",Diluir em SG5% e ajustar conforme peso
"Atropina 0,25mg/mL",Sulfato de Atropina,Genérico,Intramuscular/Intravenosa,"0,25mg/mL",1 ampola em bradicardia sintomática
Furosemida Injetável 10mg/mL,Furosemida,Genérico,Intravenosa,10mg/mL,20-40mg IV lenta conforme resposta
Pantoprazol 40mg,Pantoprazol Sódico Sesquiidratado,Genérico,Oral,40mg,"1 comprimido ao dia, preferencialmente em jejum"
Sinvastatina 20mg,Sinvastatina,Genérico,Oral,20mg,"1 comprimido ao dia, à noite"
Hidroclorotiazida 25mg,Hidroclorotiazida,Genérico,Oral,25mg,1 comprimido pela manhã
Metformina 850mg,Cloridrato de Metformina,Genérico,Oral,850mg,1 comprimido duas vezes ao dia
Omeprazol 20mg,Omeprazol,Genérico,Oral,20mg,"1 cápsula ao dia, antes do café da manhã"
Sertralina 50mg,Cloridrato de Sertralina,Genérico,Oral,50mg,1 comprimido ao dia
Enalapril 10mg,Maleato de Enalapril,Genérico,Oral,10mg,1 comprimido ao dia
Captopril 25mg,Captopril,Genérico,Oral,25mg,1 comprimido a cada 8 horas
Atenolol 50mg,Atenolol,Genérico,Oral,50mg,1 comprimido ao dia
Fluoxetina 20mg,Cloridrato de Fluoxetina,Genérico,Oral,20mg,1 cápsula ao dia pela manhã
Losartana 100mg,Losartana Potássica,Genérico,Oral,100mg,1 comprimido ao dia
Levotiroxina Sódica 50mcg,Levotiroxina Sódica,Genérico,Oral,50mcg,"1 comprimido em jejum, 30 minutos antes do café"
Ácido Fólico 5mg,Ácido Fólico,Genérico,Oral,5mg,1 comprimido ao dia
Prednisona 20mg,Prednisona,Genérico,Oral,20mg,"1 comprimido ao dia, conforme prescrição"
Carvedilol 25mg,Carvedilol,Genérico,Oral,25mg,1 comprimido duas vezes ao dia
Clonazepam 2mg,Clonazepam,Genérico,Oral,2mg,1 comprimido ao deitar
"Alprazolam 0,5mg",Alprazolam,Genérico,Oral,"0,5mg",1 comprimido ao dia ou conforme orientação médica
Claritromicina 500mg,Claritromicina,Referência,Oral,500mg,1 comprimido a cada 12 horas
"Lorazepam 2,5mg",Lorazepam,Referência,Oral,"2,5mg",1 comprimido antes de dormir
Doxiciclina 100mg,Doxiciclina,Genérico,Oral,100mg,1 comprimido a cada 12 horas por 7 dias
Ranitidina 150mg,Cloridrato de Ranitidina,Genérico,Oral,150mg,1 comprimido duas vezes ao dia
Loratadina 10mg,Loratadina,Genérico,Oral,10mg,1 comprimido ao dia
Montelucaste de Sódio 10mg,Montelucaste de Sódio,Referência,Oral,10mg,1 comprimido ao dia à noite
Risperidona 2mg,Risperidona,Genérico,Oral,2mg,1 comprimido ao dia
Bupropiona 150mg,Cloridrato de Bupropiona,Referência,Oral,150mg,1 comprimido ao dia
Desloratadina 5mg,Desloratadina,Referência,Oral,5mg,1 comprimido ao dia
Carbonato de Lítio 300mg,Carbonato de Lítio,Genérico,Oral,300mg,1 comprimido duas a três vezes ao dia
Cloridrato de Propranolol 40mg,Propranolol,Genérico,Oral,40mg,1 comprimido duas vezes ao dia
Isotretinoína 20mg,Isotretinoína,Referência,Oral,20mg,"1 cápsula ao dia, com refeição"
Duloxetina 60mg,Cloridrato de Duloxetina,Genérico,Oral,60mg,1 cápsula ao dia
"Tansulosina 0,4mg",Cloridrato de Tansulosina,Referência,Oral,"0,4mg",1 cápsula ao dia após refeição
Quetiapina 100mg,Quetiapina,Genérico,Oral,100mg,"1 comprimido ao dia, à noite"
Topiramato 50mg,Topiramato,Genérico,Oral,50mg,1 comprimido duas vezes ao dia
Lamotrigina 25mg,Lamotrigina,Genérico,Oral,25mg,1 comprimido ao dia
Alendronato de Sódio 70mg,Alendronato de Sódio,Referência,Oral,70mg,1 comprimido por semana
Escitalopram 10mg,Oxalato de Escitalopram,Genérico,Oral,10mg,1 comprimido ao dia
Cinarizina 75mg,Cinarizina,Referência,Oral,75mg,1 comprimido à noite
Zolpidem 10mg,Hemitartrato de Zolpidem,Genérico,Oral,10mg,1 comprimido antes de dormir
Cloridrato de Nortriptilina 25mg,Nortriptilina,Genérico,Oral,25mg,1 comprimido à noite
Benznidazol 100mg,Benznidazol,Genérico,Oral,100mg,"5 a 7mg/kg/dia, dividido em 2 doses por 60 dias"
Clopidogrel 75mg,Cloridrato de Clopidogrel,Genérico,Oral,75mg,1 comprimido ao dia
Anlodipino 5mg,Besilato de Anlodipino,Genérico,Oral,5mg,1 comprimido ao dia
Cetirizina 10mg,Dicloridrato de Cetirizina,Genérico,Oral,10mg,1 comprimido ao dia
Nimesulida 100mg,Nimesulida,Genérico,Oral,100mg,1 comprimido duas vezes ao dia
Ácido Acetilsalicílico 100mg,Ácido Acetilsalicílico,Referência,Oral,100mg,1 comprimido ao dia
Ibuprofeno 400mg,Ibuprofeno,Genérico,Oral,400mg,1 comprimido a cada 6 a 8 horas se necessário
Dexametasona 4mg,Fosfato Sódico de Dexametasona,Genérico,Oral,4mg,"1 comprimido ao dia, conforme prescrição"
Bromazepam 3mg,Bromazepam,Referência,Oral,3mg,1 comprimido ao dia ou conforme orientação médica
Finasterida 1mg,Finasterida,Genérico,Oral,1mg,1 comprimido ao dia
"Hidroclorotiazida + Losartana 50mg + 12,5mg",Losartana Potássica + Hidroclorotiazida,Genérico,Oral,"50mg + 12,5mg",1 comprimido ao dia
Cimetidina 300mg,Cloridrato de Cimetidina,Genérico,Oral,300mg,1 comprimido duas vezes ao dia
Domperidona 10mg,Domperidona,Genérico,Oral,10mg,1 comprimido antes das refeições
Propranolol + Hidroclorotiazida 40mg + 25mg,Cloridrato de Propranolol + Hidroclorotiazida,Genérico,Oral,40mg + 25mg,1 comprimido ao dia
Pioglitazona 30mg,Pioglitazona,Genérico,Oral,30mg,1 comprimido ao dia
Trazodona 50mg,Cloridrato de Trazodona,Genérico,Oral,50mg,1 comprimido à noite
Rivastigmina 3mg,Tartrato de Rivastigmina,Referência,Oral,3mg,1 cápsula duas vezes ao dia
Glimepirida 2mg,Glimepirida,Genérico,Oral,2mg,"1 comprimido ao dia, antes do café"
Doxiciclina + Clavulanato 875mg + 125mg,Amoxicilina + Clavulanato de Potássio,Referência,Oral,875mg + 125mg,1 comprimido a cada 12 horas
Nitazoxanida 500mg,Nitazoxanida,Genérico,Oral,500mg,1 comprimido a cada 12 horas por 3 dias
Verapamil 80mg,Cloridrato de Verapamil,Genérico,Oral,80mg,1 comprimido três vezes ao dia
